event_date,year,event_type,detail,pdf_url,keyword,source
2015-11-18,2015,收购/并购,关于签订股权收购意向书的公告,http://static.cninfo.com.cn/finalpage/2015-11-18/1201776367.PDF,股权收购,巨潮资讯网
2015-12-24,2015,收购/并购,关于股权收购的公告,http://static.cninfo.com.cn/finalpage/2015-12-24/1201854251.PDF,股权收购,巨潮资讯网
2017-07-18,2017,收购/并购,关于签订股权收购意向协议的公告,http://static.cninfo.com.cn/finalpage/2017-07-18/1203710595.PDF,股权收购,巨潮资讯网
2017-10-20,2017,收购/并购,关于签订股权收购协议的公告,http://static.cninfo.com.cn/finalpage/2017-10-20/1204054618.PDF,股权收购,巨潮资讯网
2017-12-22,2017,收购/并购,关于收购四川福多纳汽车部件有限公司100%股权完成交割的公告,http://static.cninfo.com.cn/finalpage/2017-12-22/1204246426.PDF,股权收购,巨潮资讯网
2017-12-28,2017,收购/并购,关于收购浙江家力汽车部件有限公司100%股权完成交割的公告,http://static.cninfo.com.cn/finalpage/2017-12-28/1204272257.PDF,股权收购,巨潮资讯网
20190331,2019,控制权/大股东变更,[股东变更] 第一大股东由「迈科国际控股(香港)有限公司」(65.75%) 变更为「邬建树」(0.68%),,,Tushare股东追踪
20190910,2019,大宗交易,[大宗交易] 买方:中信证券股份有限公司客户资产管理部 卖方:招商证券股份有限公司青岛海尔路证券营业部 金额:6426万元,,,Tushare大宗交易
20201231,2020,控制权/大股东变更,[股东变更] 第一大股东由「邬建树」(0.68%) 变更为「迈科国际控股(香港)有限公司」(65.75%),,,Tushare股东追踪
20210331,2021,控制权/大股东变更,[股东变更] 第一大股东由「迈科国际控股(香港)有限公司」(62.94%) 变更为「新华人寿保险股份有限公司-分红-团体分红-018L-FH001沪」(1.13%),,,Tushare股东追踪
20210630,2021,控制权/大股东变更,[股东变更] 第一大股东由「新华人寿保险股份有限公司-分红-团体分红-018L-FH001沪」(1.13%) 变更为「迈科国际控股(香港)有限公司」(62.94%),,,Tushare股东追踪
2022-03-16,2022,收购/并购,拓普集团关于收购合资子公司股权的公告,http://static.cninfo.com.cn/finalpage/2022-03-16/1212579492.PDF,股权收购,巨潮资讯网
2022-04-15,2022,收购/并购,拓普集团关于收购合资子公司股权完成交割的公告,http://static.cninfo.com.cn/finalpage/2022-04-15/1212922980.PDF,股权收购,巨潮资讯网
20221219,2022,大宗交易,[大宗交易] 买方:中国国际金融股份有限公司北京建国门外大街证券营业部 卖方:华泰证券股份有限公司江阴福泰路证券营业部 金额:44438万元,,,Tushare大宗交易
20241028,2024,大宗交易,[大宗交易] 买方:广发证券股份有限公司总部 卖方:机构专用 金额:6469万元,,,Tushare大宗交易
20241028,2024,大宗交易,[大宗交易] 买方:广发证券股份有限公司总部 卖方:机构专用 金额:6761万元,,,Tushare大宗交易
2025-01-07,2025,收购/并购,拓普集团关于拟收购相关公司股权的提示性公告,http://static.cninfo.com.cn/finalpage/2025-01-07/1222244232.PDF,股权收购,巨潮资讯网
2025-03-11,2025,收购/并购,拓普集团关于签署股权收购协议暨收购相关公司股权的进展公告,http://static.cninfo.com.cn/finalpage/2025-03-11/1222758437.PDF,股权收购,巨潮资讯网
2025-05-13,2025,收购/并购,拓普集团关于收购相关公司股权完成交割的公告,http://static.cninfo.com.cn/finalpage/2025-05-13/1223526079.PDF,股权收购,巨潮资讯网
